country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-03-2026 16:00,26.1209,85.3647,CO,12,102,55
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-03-2026 16:00,25.586562,85.043586,NO2,44,54,50
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-03-2026 16:00,25.586562,85.043586,CO,38,64,49
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-03-2026 16:00,25.592539,85.227158,PM10,112,147,126
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,NO2,5,17,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,CO,8,14,10
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,OZONE,9,30,15
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-03-2026 16:00,25.204762,85.51496,PM10,27,103,58
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-03-2026 16:00,25.204762,85.51496,NO2,9,10,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-03-2026 16:00,25.204762,85.51496,NH3,3,4,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",20-03-2026 16:00,25.376776,86.471523,PM10,29,82,54
India,Bihar,Munger,"Town Hall, Munger - BSPCB",20-03-2026 16:00,25.376776,86.471523,CO,26,31,28
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-03-2026 16:00,26.11442,85.39813,NH3,5,20,16
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-03-2026 16:00,26.11442,85.39813,SO2,3,11,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-03-2026 16:00,26.11442,85.39813,CO,25,113,28
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",20-03-2026 16:00,25.42742023,86.13886079,OZONE,39,52,46
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-03-2026 16:00,26.80365,84.51954,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-03-2026 16:00,26.80365,84.51954,NH3,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-03-2026 16:00,26.80365,84.51954,OZONE,22,31,26
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-03-2026 16:00,26.0881305,87.93840336,OZONE,31,34,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-03-2026 16:00,27.308328,84.531742,PM10,102,196,125
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-03-2026 16:00,25.697189,85.2459,PM10,90,185,122
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-03-2026 16:00,25.697189,85.2459,NO2,17,41,23
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-03-2026 16:00,25.697189,85.2459,CO,18,50,31
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",20-03-2026 16:00,25.42742023,86.13886079,NO2,10,17,14
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",20-03-2026 16:00,28.615828,77.271992,OZONE,1,38,17
India,Delhi,Delhi,"DTU, Delhi - CPCB",20-03-2026 16:00,28.7500499,77.1112615,PM2.5,16,162,58
